Date,Open,High,Low,Close,Adj Close,Volume
1980-06-01,0.132813,0.153320,0.129395,0.149902,0.056598,82508800
1980-07-01,0.149902,0.171387,0.147461,0.171387,0.064880,56012800
1980-08-01,0.171387,0.196289,0.164551,0.188477,0.071350,58214400
1980-09-01,0.187500,0.215820,0.186035,0.195313,0.074089,59059200
1980-10-01,0.196777,0.214355,0.196777,0.197266,0.074830,51430400
1980-11-01,0.196289,0.222656,0.195801,0.219727,0.083350,77465600
1980-12-01,0.220703,0.241211,0.193359,0.236328,0.089648,58905600
1981-01-01,0.239258,0.273438,0.234375,0.234375,0.089238,42764800
1981-02-01,0.234375,0.257813,0.210938,0.247070,0.094072,38464000
1981-03-01,0.248047,0.286133,0.246094,0.285156,0.108573,54259200
1981-04-01,0.285156,0.304688,0.267578,0.301758,0.115109,48563200
1981-05-01,0.301758,0.308594,0.288086,0.302734,0.115481,44864000
1981-06-01,0.301758,0.308594,0.287109,0.296875,0.113246,58969600
1981-07-01,0.296875,0.300781,0.269531,0.289063,0.110451,71526400
1981-08-01,0.289063,0.311523,0.274414,0.278320,0.106346,62156800
1981-09-01,0.276367,0.294922,0.256836,0.294922,0.112896,69171200
1981-10-01,0.294922,0.314453,0.292969,0.310547,0.118877,90009600
1981-11-01,0.311523,0.342773,0.311523,0.342773,0.132717,44454400
1981-12-01,0.342773,0.342773,0.326172,0.332031,0.128557,38694400
1982-01-01,0.333008,0.333984,0.300781,0.331055,0.128179,65689600
1982-02-01,0.337891,0.347656,0.322266,0.324219,0.125533,59788800
1982-03-01,0.322266,0.364258,0.310547,0.357422,0.138388,136640000
1982-04-01,0.361328,0.417969,0.349609,0.406250,0.157630,104422400
1982-05-01,0.404297,0.415039,0.375000,0.381836,0.148157,74188800
1982-06-01,0.383789,0.422852,0.375977,0.413086,0.160283,74713600
1982-07-01,0.409180,0.458984,0.386719,0.425781,0.165509,265587200
1982-08-01,0.425781,0.511719,0.382813,0.490234,0.190563,169689600
1982-09-01,0.496094,0.568359,0.492188,0.554688,0.215934,128320000
1982-10-01,0.558594,0.636719,0.552734,0.613281,0.238744,111955200
1982-11-01,0.617188,0.740234,0.611328,0.740234,0.288166,97228800
1982-12-01,0.765625,0.843750,0.714844,0.779297,0.303372,129868800
1983-01-01,0.763672,0.787109,0.683594,0.734375,0.286132,206905600
1983-02-01,0.738281,0.787109,0.695313,0.769531,0.299830,127872000
1983-03-01,0.779297,0.943359,0.771484,0.904297,0.352339,143897600
1983-04-01,0.902344,0.986328,0.869141,0.962891,0.375652,100544000
1983-05-01,0.957031,1.152344,0.937500,1.123047,0.438134,151737600
1983-06-01,1.109375,1.351563,1.101563,1.222656,0.476995,152864000
1983-07-01,1.218750,1.457031,1.218750,1.281250,0.500281,117993600
1983-08-01,1.273438,1.421875,1.109375,1.230469,0.480453,183350400
1983-09-01,1.230469,1.300781,1.144531,1.277344,0.499212,103465600
1983-10-01,1.277344,1.382813,1.222656,1.226563,0.479365,108960000
1983-11-01,1.226563,1.390625,1.222656,1.316406,0.514478,100192000
1983-12-01,1.308594,1.324219,1.109375,1.218750,0.476312,132608000
1984-01-01,1.222656,1.265625,1.042969,1.109375,0.433943,163280000
1984-02-01,1.125000,1.125000,0.945313,1.003906,0.392688,135420800
1984-03-01,1.007813,1.117188,0.968750,1.039063,0.406440,158256000
1984-04-01,1.046875,1.132813,1.000000,1.109375,0.434589,108995200
1984-05-01,1.105469,1.171875,1.078125,1.160156,0.454482,130188800
1984-06-01,1.156250,1.304688,1.140625,1.289063,0.504980,188240000
1984-07-01,1.292969,1.312500,1.195313,1.273438,0.499549,104956800
1984-08-01,1.277344,1.468750,1.273438,1.378906,0.540923,186553600
1984-09-01,1.378906,1.398438,1.328125,1.339844,0.526241,91452800
1984-10-01,1.339844,1.398438,1.230469,1.316406,0.517036,117401600
1984-11-01,1.328125,1.359375,1.246094,1.246094,0.489420,104224000
1984-12-01,1.250000,1.304688,1.164063,1.183594,0.464872,152611200
1985-01-01,1.187500,1.492188,1.183594,1.421875,0.584728,212694400
1985-02-01,1.421875,1.496094,1.335938,1.421875,0.584728,191907200
1985-03-01,1.429688,1.464844,1.359375,1.394531,0.573483,118300800
1985-04-01,1.398438,1.515625,1.390625,1.464844,0.633869,105974400
1985-05-01,1.468750,1.648438,1.421875,1.636719,0.708243,126944000
1985-06-01,1.671875,1.769531,1.656250,1.707031,0.738669,111020800
1985-07-01,1.742188,1.742188,1.468750,1.546875,0.698791,223401600
1985-08-01,1.562500,1.621094,1.515625,1.617188,0.730554,105872000
